#,プロンプトテンプレート名,プロンプトの概要,プロンプト,システムプロンプト,LLM,Web検索設定,参考サイト
24,議事録から議事内容の評価をしてもらう,議事録から会議の内容を客観的に評価し、課題の洗い出しを行うプロンプト,"# 指示
議事録、参加者のリスト、および会議の目的を含む情報をもとに、以下の要点で会議の評価を行ってください。
- 参加者の貢献度とアクティブな参加姿勢
- 議題の達成度と討議の深さ
- 決定されたアクションアイテムの具体性と実行可能性
- 会議の進行効率と時間管理
- 総合的な評価と今後の改善点

# 条件
出力形式は、箇条書きと段落を組み合わせたものとします。

# 会議の目的
[会議の目的](必須)

# 会議の日時・所要時間
[日時・所要時間](必須)

# 参加者
[参加者のリスト](必須)

# 議事録
[議事内容](必須)",なし,GPT-4 Turbo,OFF,なし
25,政策に対する意見生成,政策案に対して想定される意見を出してもらうことのできるプロンプト,"# 役割
あなたは優れた政策コンサルタントです。

# 命令
以下の政策、施策に対する意見をstep by stepで出力してください。

# 条件
- 以下の手順を用いて、step by stepで考えてください。
  1. 政策、施策についての現時点で想定される意見を出力してください。意見の出力は以下の[# 意見の出力形式 ]を参考にしてください。
  2. 政策、施策について分からない点、必要な情報を質問してください。
- 複数の政策や施策がある場合、それぞれについて意見を出してください。
- 追加の情報が必要な場合は、必ず質問を行い必要な情報、指示を集めてください。
- ユーザーから追加の情報が得られた場合は、その情報を用いて意見を出力してください。

# 意見の出力形式
- 意見1
 - 意見1の詳細
- 意見2
  - 意見2の詳細
(意見3以下に続く)

# 入力文
[政策、施策を入力](必須)",なし,GPT-4 Turbo,OFF,https://www.city.kobe.lg.jp/documents/63928/jireishu_1.pdf
26,会議の事前準備のチェックリスト生成,会議効率化のための予備調査・事前準備の項目を洗い出しを行うプロンプト,"# 役割
あなたは戦略的会議設計のエキスパートです。提供された会議の情報をもとに、会議の目的を達成するために最も効果的な事前調査と準備の計画を策定できます。

# 指示
ユーザーから提供された会議の情報をもとに、会議を効率的に進めるために必要な予備調査と事前準備のチェックリストを生成してください。全ての項目は、実用性を重視し、一貫した品質を保つために、以下の条件に沿ってください。

# 条件
- 全体のフォーマットは、Markdownの箇条書きリスト形式を使用し、読みやすさを確保してください。
- 各項目には具体的なアクションが含まれるようにしてください。
- 一般的なビジネス会議に適用可能な内容にしてください。
- 追加の一般知識をもとに、有益な情報を提供してください。

# 会議の情報
# テーマ
[議題](必須)

# 業界
[対象となる業界](必須)

# 関連部署
[関連部署](必須)

# 参加者の情報
[参加者の情報](必須)

# 目的
[会議の目的](必須)

# その他
[その他会議についての情報](必須)",なし,GPT-4 Turbo,OFF,なし
27,条文改正によって想定される影響生成,条文改正によって想定される影響の生成を行うプロンプト,"# 命令書
貴方は優れた政策アナリストです。
以下に改正前と改正後の2つの条文を記載します。
条文が変更されることによるメリットとリスクを記述してください。

# 制約条件
その分野の専門家として回答してください。
以下の手順によるstep by stepで行ってください。
1. 条文の変更点を箇条書きで記述してください。
2. 変更点を踏まえて、メリットを記述してください。
3. 変更点を踏まえて、リスクを記述してください。

# 入力
## 改正前の条文
[改正前の条文の内容を教えてください。](必須)
## 改正後の条文
[改正後の条文の内容を教えてください。](必須)",なし,GPT-4 Turbo,OFF,https://www.city.kobe.lg.jp/documents/63928/jireishu_1.pdf
28,条文改正によって想定される影響生成,条文改正によって想定される影響の生成を行うプロンプト,"# 命令
あなたはデータ分析と人間心理に精通した専門家です。
以下の{顧客の発言}に基づき、step by stepで{手順}に従って顧客のニーズを特定してください。

# 手順
1. 顧客の発言から重要なキーワードやフレーズを特定し、顧客が直接表明している要望(顕在ニーズ)をリストアップしてください。
2. 言葉の選択、トーン、文脈から読み取れる顧客の感情や隠れた要望(潜在ニーズ)を推測し、分析してください。
3. 上記1と2の分析結果を踏まえ、顧客のニーズに関する洞察を総合的にまとめ、報告してください。

# 顧客の発言
[ニーズを推測したい発言は何ですか](必須)",なし,GPT-4 Turbo,OFF,なし
29,議事録の要約,会議の文字起こしなどの記録を要約したいとき,"# 命令書
あなたは優れた政策アナリストです。
与えた{会議の文字起こし}の最高品質の要約を、step-by-stepで出力してください。

# 制約条件
以下の条件を用いてstep-by-stepで要約してください。
1. 会議における議題を箇条書きで出力してください。出力形式は{1. の出力形式}に従ってください。
2. 1.で出力した各議題ごとに、その議題について話していた話者と、話者の意見を箇条書きでまとめてください。形式は{2. の出力形式}に従ってください。

# 1. の出力形式
- 議題1
- 議題2
- 議題3
......

# 2. の出力形式
議題1
- 話者1
  - 意見1
  - 意見2
- 話者2
  - 意見1
議題2
......

# 会議の文字起こし
[議事録などの内容を入力]（必須）",なし,GPT-4 Turbo,OFF,なし
30,アンケート結果の傾向や意見を抽出,アンケートの回答から、どのような傾向や意見があるかを調べたいとき,"# 命令
あなたは優秀なデータサイエンティストです。
与えられた{アンケート結果}を基に、以下の{分析する項目}に則って分析してください。

# 分析する項目
- 全体的な傾向: アンケートの全体的なレスポンス率、最も高評価と最も低評価を受けた項目の特定、及びそれらの傾向の説明
- 年齢・性別ごとの傾向: 年齢層と性別に基づく意見の違いの分析、特に注目すべき年齢層や性別グループの特定
-フリーテキストの分析: アンケートの自由記入欄から見られる意見の傾向と、頻出する意見やキーワードの分析
- 改善案・提案: アンケート結果から見えてくる主要な課題と、それに基づく具体的な改善案の提案

# 特筆すべき分析事項
[特筆すべき分析事項があれば入力してください]

# アンケートのテーマ
[アンケートのテーマを入力してください]

# アンケートの質問内容と回答項目
[アンケートの質問内容と回答項目を入力してください]

# アンケート結果
[得られた回答を入力してください]",なし,GPT-4 Turbo,OFF,https://www.city.kobe.lg.jp/documents/63928/jireishu_1.pdf
31,評価要件を洗い出し段階評価基準を作成,評価要件を洗い出しながら、評価基準の作成を行うプロンプト,"# 指示
あなたは{テーマ}に関する専門家で、適切な評価をすることができます。
{テーマ}に関する評価要件を特定し、各要件に対して入力された評価段階を用いた評価基準を作成してください。

# 条件
- 評価基準は明確かつ具体的であり、一貫性が保たれるようにしてください。
- 文字数: 各評価基準は100〜200文字以内
- 出力フォーマット: マークダウン形式で提示

以下のマークダウン形式を使用して、評価基準を記述してください。

### 評価要件{番号}: {評価要件のタイトル}
評価基準:
1. {最高評価} - {評価基準の説明}
2. {次点評価} - {評価基準の説明}
...
n. {最低評価} - {評価基準の説明}

# テーマ
[評価したいことについて入力してください]

# 評価段階
[評価段階を入力してください]",なし,GPT-4 Turbo,OFF,https://www.city.kobe.lg.jp/documents/63928/jireishu_1.pdf
32,ディベートのシミュレーション,GPTとディベートのシミュレーションを行いアイデアを得るプロンプト,"# 命令書
{ディベートの議題}について、{ディベート参加者}がディベートしている
様子をシミュレーションしてください。

# ディベートのテーマ
[ディベートのテーマを教えてください。](必須)

# ディベート参加者
## 司会者
[ディベートの司会者の情報を入力してください。](必須)

## 参加者
[ディベートの参加者の情報を入力してください。](必須)

# 条件
- ディベートの初めに、参加者がそれぞれ{ディベートのテーマ}に関連する、最近自身が見たり聞いたりしたエピソードを話してください。
- どのような行動を行うことが最適かを考え、結論を出してください。
- 適宜ブレインストーミングを含めて議論してください。",なし,GPT-4 Turbo,OFF,なし
33,目標達成事項を考えてもらう,"ある事業のKPI,KGIの内容を、対話を通して考えることのできるプロンプト
","# 命令書
あなたは優れたアナリストです。
{経営戦略を考えたい事業}の経営戦略を立案するにあたり、考えられるKPI、KGIをいくつか考えてください。
{KPI、KGIで示したい内容}に`なし`以外の記述があれば、その内容を踏まえたKPI、KGIを考えてください。

# 経営戦略を考えたい事業
[経営戦略を考えたい事業の内容を教えてください](必須)

# KPI、KGIで示したい内容
[KPI、KGIが示す内容を教えてください](必須)",なし,GPT-4 Turbo,OFF,なし
34,業務を複数のタスクに分解する,ある業務の具体的な作業手順を知りたいときに具体的なタスクに分解をするプロンプト,"# 命令書
あなたは優れたマネージャーです。
以下に示された{業務}を、step-by-stepで複数のタスクに分解してください。

# step-by-stepの手順
1. {業務}を構成する主要な要素を記述してください。
2. 1. で記述した主要な要素ごとに、必要なタスクを記述してください。
3. 2. で記述した必要なタスクを優先順位ごとに並び替えてください。
4. 各タスクごとに、具体的なアクションや手順を記述してください。
5. 4. を踏まえ、最終的なタスクのリストと順序を示してください。

# 業務
[タスクに分解したい業務内容を分解]",なし,GPT-4 Turbo,OFF,なし
35,英文をネイティブが用いる表現に変える,日本語を英語に直訳した文章などをより自然な表現の文章に変換するプロンプト,"# 命令書
あなたは優れた翻訳者です。
与えられた英文を、ネイティブが使用する表現に{step-by-stepの手順}に従って直してください。

# step-by-stepの手順
1. ネイティブが用いない表現の部分を指摘し、その部分の修正案を出力してください。指摘は日本語で行ってください。
2. 修正後の英文を出力してください。

# 英文
[表現を変えたい英文を入力](必須)",なし,GPT-4 Turbo,OFF,なし
36,英会話の練習をする,日本語を英語に直訳した文章などをより自然な表現の文章に変換するプロンプト,"# 命令書
あなたは英会話能力に長けた友人です。
日米バイリンガルとして振る舞ってください。
ユーザーが入力した英文に対して、{出力フォーマット}に従って1回に1つずつ回答してください。
説明は書かないでください。まとめて会話内容を書かないでください。

#出力項目:
【修正】:
ユーザーが入力した英文を、自然な英語に修正してください。
【修正の理由（日本語）】:
ユーザーが入力した英文と、修正した英文の差分について、全てのミスや改善すべき言葉遣いを、それぞれ100文字以内で、日本語で箇条書きで指摘してください。
【返答】:
友人としてのあなたの日常会話文です。英会話学習に使えるような、1回に1つの、会話のような英語の文章のみを出力します。手順は以下の通りです。
1. 私の発言に相槌を打つ短文を1つ出力してください。
2. 私への質問を返す短文を1つ出力してください。
注意点は以下の通りです。
- 文章は私の元の英文と同じぐらいの長さにしてください。
- 長くても30単語以内にしてください。
- 短く簡潔に、私の英語能力に合わせて書いてください。


私の最初の会話は、""Hello.""です。
毎回、以下の出力フォーマットを厳格に守って全てを必ず出力してください。

#出力フォーマット:
【修正】

【修正の理由（日本語）】

【返答】",なし,GPT-4 Turbo,OFF,なし
37,データの分類分け,渡されたデータを特定の条件に則って分類分けを行うプロンプト,"# 命令
あなたはデータ分析の専門家です。
以下の{分類対象データ}に渡されたデータを、指定された{分類条件}に従って分類分けしてください。ただし、特定のグループに分類しにくいデータや、解釈によって複数の分類が可能なデータがある場合は、それらを分類せずにリストアップし、それぞれのデータについて分類を行わなかった理由を詳細に報告してください。
もし{分類条件}が提供されていない場合は、あなたの専門的知識を活かして分類基準を設定し、その基準を明確に説明した上でデータをグループ分けしてください。

# 分類条件
[分類の条件があれば入力してください](任意)

# 分類対象データ
[分類分けしたいデータを入力してください](必須)",なし,GPT-4 Turbo,OFF,なし
